iter	Passed	Remaining
238	1016	3235
239	1019	3228
240	1022	3221
241	1026	3214
242	1029	3207
243	1034	3204
244	1038	3200
245	1041	3192
246	1044	3185
247	1048	3179
248	1053	3176
249	1056	3169
250	1060	3163
251	1065	3161
252	1069	3157
253	1072	3150
254	1078	3150
255	1081	3143
256	1084	3135
257	1087	3128
258	1090	3121
259	1097	3123
260	1101	3118
261	1103	3109
262	1106	3100
263	1111	3098
264	1113	3089
265	1116	3080
266	1119	3072
267	1122	3065
268	1125	3057
269	1128	3050
270	1132	3046
271	1135	3038
272	1139	3034
273	1143	3030
274	1148	3026
275	1151	3020
276	1154	3014
277	1158	3008
278	1161	3002
279	1166	2999
280	1169	2993
281	1174	2990
282	1178	2986
283	1182	2980
284	1186	2976
285	1189	2969
286	1192	2962
287	1195	2956
288	1198	2949
289	1201	2942
290	1204	2935
291	1208	2929
292	1214	2930
293	1217	2924
294	1220	2917
295	1225	2913
296	1228	2907
297	1231	2900
298	1234	2894
299	1237	2887
300	1240	2881
301	1243	2874
302	1250	2875
303	1253	2869
304	1256	2862
305	1260	2859
306	1265	2856
307	1271	2856
308	1274	2850
309	1278	2846
310	1282	2842
311	1285	2835
312	1290	2831
313	1294	2828
314	1297	2821
315	1300	2815
316	1303	2808
317	1306	2802
318	1309	2795
319	1312	2789
320	1315	2783
321	1318	2776
322	1323	2773
323	1326	2767
324	1330	2763
325	1333	2757
326	1338	2753
327	1342	2750
328	1346	2746
329	1350	2740
330	1353	2734
331	1356	2728
332	1359	2722
333	1362	2716
334	1366	2713
335	1369	2707
336	1373	2701
337	1377	2697
338	1380	2691
339	1383	2685
340	1387	2682
341	1392	2679
342	1395	2673
343	1401	2673
344	1404	2667
345	1409	2663
346	1412	2657
347	1416	2653
348	1419	2647
349	1422	2641
350	1428	2641
351	1431	2635
352	1467	2689
353	1470	2683
354	1473	2677
355	1476	2670
356	1481	2667
357	1483	2660
358	1486	2653
359	1489	2647
360	1491	2640
361	1495	2636
362	1499	2631
363	1506	2632
364	1509	2626
365	1513	2622
366	1516	2616
367	1520	2610
368	1525	2608
369	1528	2602
370	1532	2598
371	1535	2592
372	1539	2587
373	1542	2581
374	1546	2577
375	1549	2572
376	1553	2567
377	1557	2562
378	1560	2556
379	1563	2550
380	1566	2545
381	1569	2539
382	1574	2536
383	1577	2530
384	1580	2525
385	1584	2519
386	1588	2516
387	1593	2512
388	1596	2507
389	1599	2502
390	1603	2497
391	1606	2491
392	1610	2486
393	1613	2481
394	1617	2477
395	1622	2474
396	1625	2469
397	1628	2463
398	1631	2458
399	1635	2452
400	1638	2447
401	1642	2443
402	1647	2440
403	1650	2434
404	1653	2429
405	1656	2424
406	1659	2418
407	1663	2413
408	1666	2408
409	1670	2403
410	1673	2398
411	1676	2392
412	1679	2387
413	1683	2382
414	1686	2377
415	1690	2373
416	1693	2368
417	1698	2364
418	1702	2361
419	1706	2356
420	1709	2351
421	1713	2346
422	1716	2341
423	1720	2337
424	1724	2333
425	1728	2328
426	1731	2323
427	1734	2318
428	1738	2313
429	1741	2308
430	1746	2305
431	1749	2300
432	1754	2297
433	1757	2292
434	1761	2287
435	1764	2282
436	1768	2277
437	1772	2274
438	1779	2274
439	1783	2269
440	1786	2264
441	1789	2259
442	1792	2254
443	1795	2248
444	1799	2244
445	1803	2240
446	1807	2236
447	1814	2236
448	1817	2230
449	1821	2225
450	1824	2220
451	1828	2216
452	1831	2211
453	1834	2205
454	1837	2200
455	1840	2195
456	1846	2193
457	1849	2188
458	1852	2183
459	1855	2178
460	1859	2174
461	1863	2169
462	1870	2168
463	1874	2165
464	1880	2163
465	1885	2160
466	1889	2155
467	1894	2153
468	1897	2148
469	1902	2145
470	1907	2142
471	1911	2138
472	1914	2133
473	1919	2130
474	1923	2125
475	1926	2121
476	1930	2116
477	1933	2111
478	1937	2107
479	1942	2104
480	1946	2100
481	1983	2131
482	1986	2126
483	1990	2122
484	1993	2116
485	1996	2111
486	2001	2108
487	2006	2104
488	2009	2100
489	2013	2095
490	2016	2090
491	2025	2090
492	2032	2089
493	2035	2085
494	2038	2079
495	2044	2077
496	2047	2072
497	2051	2068
498	2057	2065
499	2061	2061
500	2064	2056
501	2067	2051
502	2072	2047
503	2076	2043
504	2081	2039
505	2084	2035
506	2087	2030
507	2091	2025
508	2094	2020
509	2098	2015
510	2101	2010
511	2105	2006
512	2108	2001
513	2112	1996
514	2146	2021
515	2155	2021
516	2159	2017
517	2162	2012
518	2168	2009
519	2174	2006
520	2178	2002
521	2182	1998
522	2187	1994
523	2196	1995
524	2200	1990
525	2203	1985
526	2212	1985
527	2216	1980
528	2219	1976
529	2223	1971
530	2228	1968
531	2231	1963
532	2235	1958
533	2240	1954
534	2243	1949
535	2246	1944
536	2249	1939
537	2252	1934
538	2256	1929
539	2262	1927
540	2265	1922
541	2271	1919
542	2275	1914
543	2280	1911
544	2283	1906
545	2288	1902
546	2292	1898
547	2296	1893
548	2299	1888
549	2303	1884
550	2307	1880
551	2310	1875
552	2315	1871
553	2320	1868
554	2328	1867
555	2332	1862
556	2336	1858
557	2339	1852
558	2342	1847
559	2345	1843
560	2348	1837
561	2351	1832
562	2354	1827
563	2362	1826
564	2367	1822
565	2370	1817
566	2374	1813
567	2379	1809
568	2384	1806
569	2387	1801
570	2392	1797
571	2395	1792
572	2399	1787
573	2405	1785
574	2409	1781
575	2413	1776
576	2417	1772
577	2421	1767
578	2424	1762
579	2427	1758
580	2432	1754
581	2435	1749
582	2439	1744
583	2442	1739
584	2447	1736
585	2453	1733
586	2457	1728
587	2460	1723
588	2463	1719
589	2466	1714
590	2470	1709
591	2474	1705
592	2478	1700
593	2481	1696
594	2486	1692
595	2489	1687
596	2493	1683
597	2497	1679
598	2501	1674
599	2504	1669
600	2508	1665
601	2511	1660
602	2514	1655
603	2518	1650
604	2521	1646
605	2526	1642
606	2560	1657
607	2563	1652
608	2567	1648
609	2571	1644
610	2576	1640
611	2583	1637
612	2588	1633
613	2592	1629
614	2596	1625
615	2600	1621
616	2604	1616
617	2608	1612
618	2611	1607
619	2615	1602
620	2618	1598
621	2622	1593
622	2626	1589
623	2629	1584
624	2633	1579
625	2636	1575
626	2639	1570
627	2645	1567
628	2649	1562
629	2653	1558
630	2657	1553
631	2660	1548
632	2663	1544
633	2666	1539
634	2669	1534
635	2674	1530
636	2677	1526
637	2680	1521
638	2684	1516
639	2690	1513
640	2694	1509
641	2699	1505
642	2702	1500
643	2705	1495
644	2708	1490
645	2711	1486
646	2716	1482
647	2719	1477
648	2722	1472
649	2726	1468
650	2731	1464
651	2735	1460
652	2739	1455
653	2743	1451
654	2746	1446
655	2751	1442
656	2754	1438
657	2759	1434
658	2762	1429
659	2766	1424
660	2769	1420
661	2774	1416
662	2777	1412
663	2781	1407
664	2784	1402
665	2787	1398
666	2790	1393
667	2795	1389
668	2799	1384
669	2802	1380
670	2806	1376
671	2810	1371
672	2814	1367
673	2819	1363
674	2824	1359
675	2827	1355
676	2831	1350
677	2835	1346
678	2839	1342
679	2842	1337
680	2849	1334
681	2852	1330
682	2856	1325
683	2859	1321
684	2866	1317
685	2869	1313
686	2876	1310
687	2880	1306
688	2884	1301
689	2891	1299
690	2895	1294
691	2898	1290
692	2903	1286
693	2907	1281
694	2913	1278
695	2920	1275
696	2923	1271
697	2929	1267
698	2932	1262
699	2935	1258
700	2939	1253
701	2943	1249
702	2948	1245
703	2953	1241
704	2957	1237
705	2961	1233
706	2966	1229
707	2969	1224
708	2973	1220
709	2977	1216
710	2981	1211
711	2986	1207
712	2991	1204
713	2995	1199
714	2998	1195
715	3003	1191
716	3009	1187
717	3013	1183
718	3017	1179
719	3025	1176
720	3028	1172
721	3033	1168
722	3037	1163
723	3042	1159
724	3045	1155
725	3050	1151
726	3054	1146
727	3059	1143
728	3064	1139
729	3067	1134
730	3073	1130
731	3078	1127
732	3083	1123
733	3086	1118
734	3090	1114
735	3096	1110
736	3100	1106
737	3103	1101
738	3107	1097
739	3111	1093
740	3118	1089
741	3123	1086
742	3128	1081
743	3131	1077
744	3137	1073
745	3141	1069
746	3146	1065
747	3149	1061
748	3155	1057
749	3160	1053
750	3165	1049
751	3168	1045
752	3172	1040
753	3176	1036
754	3181	1032
755	3184	1027
756	3187	1023
757	3191	1018
758	3194	1014
759	3198	1010
760	3202	1005
761	3208	1002
762	3213	998
763	3218	994
764	3221	989
765	3225	985
766	3228	980
767	3231	976
768	3235	971
769	3239	967
770	3242	963
771	3246	958
772	3249	954
773	3252	949
774	3255	945
775	3258	940
776	3262	936
777	3266	932
778	3270	927
779	3273	923
780	3277	918
781	3281	914
782	3284	910
783	3288	905
784	3291	901
785	3295	897
786	3302	893
787	3305	889
788	3310	885
789	3313	880
790	3318	876
791	3322	872
792	3327	868
793	3333	864
794	3336	860
795	3340	856
796	3343	851
797	3349	847
798	3352	843
799	3356	839
800	3359	834
801	3362	830
802	3369	826
803	3372	822
804	3375	817
805	3378	813
806	3382	808
807	3387	804
808	3390	800
809	3393	796
810	3399	792
811	3403	788
812	3408	783
813	3411	779
814	3447	782
815	3453	778
816	3456	774
817	3459	769
818	3463	765
819	3467	761
820	3470	756
821	3473	752
822	3476	747
823	3481	743
824	3485	739
825	3492	735
826	3496	731
827	3499	727
828	3503	722
829	3506	718
830	3512	714
831	3517	710
832	3521	705
833	3528	702
834	3533	698
835	3538	694
836	3542	689
837	3547	685
838	3550	681
839	3554	676
840	3558	672
841	3562	668
842	3565	663
843	3568	659
844	3571	655
845	3574	650
846	3579	646
847	3583	642
848	3588	638
849	3591	633
850	3594	629
851	3599	625
852	3603	621
853	3611	617
854	3617	613
855	3624	609
856	3628	605
857	3634	601
858	3638	597
859	3642	592
860	3646	588
861	3649	584
862	3653	580
863	3660	576
864	3664	571
865	3670	568
866	3677	564
867	3681	559
868	3687	555
869	3691	551
870	3696	547
871	3700	543
872	3703	538
873	3708	534
874	3713	530
875	3716	526
876	3721	521
877	3726	517
878	3733	513
879	3738	509
880	3743	505
881	3748	501
882	3753	497
883	3757	493
884	3762	488
885	3766	484
886	3771	480
887	3775	476
888	3780	472
889	3785	467
890	3790	463
891	3795	459
892	3800	455
893	3804	451
894	3809	446
895	3813	442
896	3817	438
897	3824	434
898	3830	430
899	3837	426
900	3842	422
901	3847	418
902	3854	414
903	3861	410
904	3865	405
905	3872	401
906	3877	397
907	3881	393
908	3885	388
909	3890	384
910	3895	380
911	3899	376
912	3904	372
913	3907	367
914	3912	363
915	3917	359
916	3924	355
917	3930	351
918	3935	346
919	3942	342
920	3948	338
921	3953	334
922	3958	330
923	3965	326
924	3970	321
925	3976	317
926	3985	313
927	3994	309
928	3999	305
929	4005	301
930	4009	297
931	4014	292
932	4024	288
933	4031	284
934	4036	280
935	4042	276
936	4046	272
937	4053	267
938	4061	263
939	4065	259
940	4073	255
941	4082	251
942	4088	247
943	4095	242
944	4099	238
945	4104	234
946	4109	229
947	4116	225
948	4136	222
949	4140	217
950	4146	213
951	4151	209
952	4158	205
953	4164	200
954	4170	196
955	4176	192
956	4180	187
957	4187	183
958	4191	179
959	4198	174
960	4205	170
961	4212	166
962	4219	162
963	4222	157
964	4227	153
965	4234	149
966	4239	144
967	4245	140
968	4250	135
969	4257	131
970	4261	127
971	4266	122
972	4271	118
973	4278	114
974	4283	109
975	4287	105
976	4291	101
977	4298	96
978	4304	92
979	4310	87
980	4315	83
981	4320	79
982	4326	74
983	4333	70
984	4337	66
985	4341	61
986	4346	57
987	4351	52
988	4355	48
989	4361	44
990	4368	39
991	4372	35
992	4379	30
993	4386	26
994	4392	22
995	4399	17
996	4402	13
997	4406	8
998	4412	4
999	4418	0
